Publisher,Instagram ID,URL,Type,comment
ABC News Politics,abcnews,https://instagram.com/p/BK3CwIohg-c/,photo,Catherine Duchess of Cambridge and Prince William Duke of Cambridge visit the Great Bear Rainforest in Bella Bella Canada. PHOTO: Sam Hussein / Getty Images. #Royals #RoyalFamily #PrinceWilliam #DuchessCatherine #Canada
ABC News Politics,abcnews,https://instagram.com/p/BK187WNhOim/,video,The Presidential Debate ends on a handshake between Hillary Clinton and Donald Trump. #Debates
ABC News Politics,abcnews,https://instagram.com/p/BK15huIBVkb/,photo,Donald Trump speaks during the Presidential Debate. PHOTO: Patrick Semansky / AP Photo #Debates #Debate #trump #presidentialdebate #politics
ABC News Politics,abcnews,https://instagram.com/p/BK14VF8hBjH/,photo,Former U.S. President Bill Clinton talks with his daughter Chelsea prior to the first presidential debate. PHOTO: Carlos Barria / Reuters #Debates #Debate #clinton #politics #president #presidentialdebate
ABC News Politics,abcnews,https://instagram.com/p/BK10vR3hqj2/,photo,Republican nominee Donald Trump looks on during the #PresidentialDebate. PHOTO: Jewel Samad / AFP / Getty Images #Debates #Debate #trump #clinton #republican #politics
ABC News Politics,abcnews,https://instagram.com/p/BK10liYB_1W/,photo,Hillary Clinton speaks during the #PresidentialDebate. PHOTO: Drew Angerer / Getty Images #Debates #Debate #clinton #trump
ABC News Politics,abcnews,https://instagram.com/p/BK1zj1NhB-y/,photo,Hillary Clinton shakes hands with Donald Trump before the #PresidentialDebate. PHOTO: Joe Raedle / Getty Images #Debates #Debate #clinton #trump
ABC News Politics,abcnews,https://instagram.com/p/BK1yleuBmqS/,photo,Melania Trump shakes hands with Bill Clinton before the Presidential Debate. PHOTO: Drew Angerer / Getty Images #trump #clinton #Debates #Debate #presidentialdebate
ABC News Politics,abcnews,https://instagram.com/p/BK1ybLZB-9S/,video,Presidential nominees Hillary Clinton and Donald Trump shake hands to begin the debate. #Debates #Debate #president #presidentialdebate #clinton #trump
ABC News Politics,abcnews,https://instagram.com/p/BK1q3OvBLbe/,photo,Miami Marlins players wearing No. 16 tonight in honor of Jose Fernandez: Teammate Dee Gordon circled the bases slowly after homering in the Marlins’ first at-bat since Fernandez’s death and was crying when he reached home plate. He tapped his chest and waved toward the sky and then sobbed as teammates hugged him in the dugout. CREDIT: AP/Lynne Sladky #JoseFernandez #JDF16 #RIP #marlins
ABC News Politics,abcnews,https://instagram.com/p/BK1Jy4yBcF1/,video,TONIGHT: Hillary Clinton and Donald Trump take the debate stage. We'll have live comprehensive coverage on ABC TV and across digital. #debates #debate #presidentialdebate #trump #clinton #politics #president
ABC News Politics,abcnews,https://instagram.com/p/BK0wf96jAZ3/,photo,Surf dog Skyler who is a Red Australian Shepherd surfs a large wave during the 8th annual Surf City Surf Dog event at Huntington Beach California Sept. 25 2016. CREDIT: Mark Ralston/AFP/Getty Images SEE MORE at ABCNews.com/photos #abcnews #photos #dog #California #SurfIng #surf #waves #besch
